web-scraper-order,web-scraper-start-url,Name,Video,Target Muscle Group,Exercise Type,Equipment Required,Mechanics,Force Type,Experience Level,Secondary Muscles,Muscle Group Image-src,Overview,Instructions,Tips
1744282075-13,https://www.muscleandstrength.com/exercises/straight-leg-deadlift,Straight Leg Deadlift,https://www.youtube.com/embed/_VpjrFHRNF0?rel=0,Hamstrings,Strength,Barbell,Compound,Hinge (Bilateral),Intermediate,"Abs, Adductors, Calves, Forearms, Glutes, Lats, Lower Back, Quads, Traps, Upper Back",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Hamstrings.jpg,"The straight leg deadlift is a variation of the deadlift. It is an exercise used to strengthen the muscles of the entire posterior chain including the hamstrings, glutes, calves, and back.
The straight leg deadlift differs from its conventional deadlift counterpart in that one must keep their legs straight during the eccentric portion of the lift. This places more tension on the hamstrings as they stretch when lowering the weight.
One can utilize the straight leg deadlift to build bigger hamstrings or to strengthen their personal records on the conventional deadlift.","
		Set a bar at just below hip height and load your desired weight.

		Hinge forward slightly and grasp the bar with a double overhand, shoulder width grip.

		Stand up by extending your hips and knees and take two steps back from the rack.

		Keeping the knees extended, push your hips back, and hinge forward until the bar is just below your knee cap.

		Drive through the whole foot and focus on pushing the floor away.

		Finish the movement by squeezing the glutes and posteriorly tilting the pelvis.

		Once you have locked out the hips, reverse the movement by pushing the hips back and hinging forward.

		Return the bar to the floor, reset, and repeat for the desired number of repetitions.","
		Make no mistake, your lower back should not round during this exercise. Those who perform it on a raised platform with a rounded back are doing it incorrectly. You should only utilize the range of motion which you can move through with control.

		Even though the knees are meant to be mostly locked out with this variation, you shouldn’t be focused on squeezing your quads. If you notice pain at the back of the base of the knees, simply switch to another slightly bent knee variation.

		This style of deadlift will look VERY similar to a conventional deadlift only the lifter will start with higher hips and a vertical shin angle. The hips and shoulders will likely be at just about the same height.

		Do not allow the bar to drift away from your body during the lift.

		Always start these out of a rack, don’t go off the floor. Most won’t have the requisite hamstring mobility to complete the movement from the floor.

		The movement occurs primarily at your hips. There shouldn’t be any movement within your spine - don’t focus on arching your back.

		Neck position is highly individual - Some prefer a neutral neck position (i.e. keeping the chin tucked throughout the lift) while others do well with looking slightly up. Here’s some factors to consider:


				If you’re someone who is more globally extended (i.e. athletic background), then you will likely be able to keep a neutral position more effectively by packing the chin.

				On the opposite end of the spectrum, if you tend to be more flexion dominant (especially in your thoracic spine - upper back) then it would behoove you to look up slightly as this will drive more extension.

				Experiment with each and see which one works best for your individual anatomy and biomechanics.



		Do not worry about retracting your shoulder blades, this is unnecessary and doesn’t carry over to your deadlift.

		Make sure you wrap your thumbs around the bar and don’t utilize a false grip. Squeeze the bar as tight as possible like you’re trying to leave an imprint of your fingerprints on the bar.

		When you hip hinge, you should naturally notice a weight shift to your heels. However, don’t shift your weight so aggressively that your heels come up.

		To follow up on my previous point, if you focus on keeping the weight entirely on the heels, you won’t be able to effectively recruit your quads at the beginning of the lift and thus you’ll be slow off the flow. So, to combat this, you should focus on driving through the whole foot - you want 3 points of contact: big toe, little toe, and heel.

		Ensure the elbows stay locked out. Don’t actively flex the triceps but make sure that your elbows doesn’t break neutral."
1744282078-14,https://www.muscleandstrength.com/exercises/fat-bar-deadlift,Fat Bar Deadlift,https://www.youtube.com/embed/WVriOhDpIgI?rel=0,Hamstrings,Strength,Fat Bar,Compound,Hinge (Bilateral),Intermediate,"Abs, Adductors, Calves, Forearms, Glutes, Hamstrings, Lats, Lower Back, Quads, Traps, Upper Back",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Hamstrings.jpg,"The fat bar deadlift is a variation of the deadlift and an exercise that works the entire posterior chain. Hip hinges, such as the deadlift, primarily target the muscles of the hamstrings and glutes, but also involve the muscles of the back as well.
Utilizing the fat bar when performing fat bar deadlifts will help you build grip strength and bigger forearm muscles. This can be extremely beneficial if one of your limiting factors on conventional deadlift is gripping the weight during the exercise.","
		Position the fat bar over the top of your shoelaces and assume a hip width stance.

		Push your hips back and hinge forward until your torso is nearly parallel with the floor.

		Reach down and grasp the fat bar using a shoulder width, double overhand grip.

		Inhale and pull up slightly on the bar while allowing your hips to drop in a seesaw fashion. This phenomenon is commonly referred to as “pulling the slack out of the bar”.

		As you drop the hips and pull up on the bar, set the lats (imagine you’re trying to squeeze oranges in your armpits) and ensure your armpits are positioned directly over the bar.

		Drive through the whole foot and focus on pushing the floor away.

		Ensure the bar tracks in a straight line as you extend the knees and hips.

		Once you have locked out the hips, reverse the movement by pushing the hips back and hinging forward.

		Return the bar to the floor, reset, and repeat for the desired number of repetitions.","
		You MUST keep the crease of the armpit over the bar and the midfoot to allow the bar to travel linearly.

		The deadlift is a hinge, not a squat. If you set the hips too low you will put yourself in a disadvantageous position biomechanically and limit your potential for pulling maximal weights.

		To prevent the bar from drifting away from the body, one should focus on squeezing their lats to keep the bar close and allow it to travel in a linear fashion. Use the cue: “squeeze oranges in your armpits”, “put your shoulder blades in your back pockets” (i.e. scapular depression) or “imagine you’re doing a straight arm pulldown”.

		The hips should be lower than the shoulders and you should be able to see the logo on the lifter’s shirt before they pull (i.e. “chest up”). The chest up cue is usually accomplished when the lats become locked in though so this cue is typically not needed if the lifter understands how to initiate the lats.

		Neck position is highly individual - Some prefer a neutral neck position (i.e. keeping the chin tucked throughout the lift) while others do well with looking slightly up. Here’s some factors to consider:


				If you’re someone who is more globally extended (i.e. athletic background), then you will likely be able to keep a neutral position more effectively by packing the chin.

				On the opposite end of the spectrum, if you tend to be more flexion dominant (especially in your thoracic spine - upper back) then it would behoove you to look up slightly as this will drive more extension.

				Experiment with each and see which one works best for your individual anatomy and biomechanics.



		Ideally you should cue and emphasize a vertical shin but this will depend entirely on a lifter’s spine and limb length.

		Toe angle is highly individual - this will be dependent upon your hip anatomy. Experiment (toes slightly in, out, or neutral) to see what feels best for you.

		Do NOT retract your shoulder blades. This is mechanically inefficient and a self limiting cue as it shortens the length of the arms thus requiring a larger range of motion.

		Make sure you wrap your thumbs around the bar and don’t utilize a false grip. Squeeze the bar as tight as possible like you’re trying to leave an imprint of your fingerprints on the bar.

		Scraping the shins isn’t always necessary in the deadlift. It may occur more frequently with sumo rather than conventional work but if you have the arm pits in the correct position (as noted above) then the bar should travel vertically and the shins will become vertical and move out of the way as the knees extend.

		If you focus on keeping the weight entirely on the heels, you won’t be able to effectively recruit your quads at the beginning of the lift and thus you’ll be slow off the flow. So, to combat this, you should focus on driving through the whole foot - you want 3 points of contact: big toe, little toe, and heel.

		Ensure the elbows stay locked out. Don’t actively flex the triceps but make sure that your elbow doesn’t break neutral as this can potentially put you at risk for a bicep tear under maximal weights.

		More experienced lifters may not need to emphasize the “pull the slack out the bar” cue as much and that’s perfectly fine if it works for them and still allows them to pull maximal weight but initially it’s an important concept to understand and implement.

		For single repetitions, it will be much easier to drop the bar from lockout (provided that it’s allowed and you’re lifting on a platform or with bumper plates) due to less eccentric loading upon your spinal erectors. However, for multiple repetitions you should try to lower the weight under control while not overly fatiguing the erectors.

		The knees should be stacked over the feet. If you position the feet too wide (outside of hip width) then you will likely have to resort to one of two strategies:


				The knees will be pushed inward (valgus) due to your grip width.

				You will have to widen your grip which will require a larger range of motion and make the lift less efficient.



		If you find that you’re weak at lockout, you should incorporate rack pulls, RDLs, and/or pulls against chains or bands. On the opposite end of the spectrum however, if you’re weak off the floor, you should incorporate paused and/or deficit deadlifts. You would also need additional supplementary work for the upper back and glutes."
1744282080-15,https://www.muscleandstrength.com/content/trap-bar-romanian-deadlift,Trap Bar Romanian Deadlift,https://www.youtube.com/embed/aD_zzsNrdqE?rel=0,Hamstrings,Strength,Trap Bar,Compound,Hinge (Bilateral),Beginner,"Abs, Forearms, Glutes, Lats, Lower Back, Traps, Upper Back",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Hamstrings.jpg,"The trap bar Romanian deadlift is a variation of the Romanian deadlift and an exercise used to target the entire posterior chain.
The main difference between the trap bar Romanian deadlift and other Romanian deadlift variation is the hand placement and use of a trap bar. The trap bar allows the lifter to maintain a more neutral grip as well as the weight distribution from the front of the body to the side of the body.
These slight changes seen in the trap bar Romanian deadlift can help the lifter maintain a more neutral spine during the course of the movement.","
		Stand inside of the trap bar with a hip width stance.

		Assume a neutral grip on the handles and deadlift the weight into position at the top with the hips and knees locked out.

		Begin the RDL by pushing your hips back and hinging forward until the bar is just below knee height.

		Drive through the whole foot and focus on pushing the floor away.

		Return to the starting position and repeat for the desired number of repetitions.","
		Range of motion in the lift will largely be determined by an individual’s mobility as well as their ability to maintain a neutral spine. Standing on a box or bench is likely counterproductive as most won’t have the range of motion to control that much range of motion effectively.

		It may be easier to utilize the trap bar given the load is distributed on both sides of the body rather than in front. Since this is the case, it can be thought of as a progression into normal RDLs.

		Neck position is highly individual - Some prefer a neutral neck position (i.e. keeping the chin tucked throughout the lift) while others do well with looking slightly up. Here’s some factors to consider:


				If you’re someone who is more globally extended (i.e. athletic background), then you will likely be able to keep a neutral position more effectively by packing the chin.

				On the opposite end of the spectrum, if you tend to be more flexion dominant (especially in your thoracic spine - upper back) then it would behoove you to look up slightly as this will drive more extension.

				Experiment with each and see which one works best for your individual anatomy and biomechanics.



		Do not allow the bar to drift away from the body, it should graze your legs during the eccentric portion of the lift.

		Make sure you wrap your thumbs around the bar and don’t utilize a false grip. Squeeze the bar as tight as possible like you’re trying to leave an imprint of your fingerprints on the bar.

		Your weight will naturally shift to your heels as you hinge; however, it’s important that you keep the weight distributed over your whole foot and don’t allow the toes to rise. To combat this, you should focus on maintaining 3 points of contact: big toe, little toe, and heel.

		Ensure the elbows stay locked out. Don’t actively flex the triceps but make sure that your elbow doesn’t break neutral as this can potentially put you at risk for a bicep tear under maximal weights."
1744282083-16,https://www.muscleandstrength.com/exercises/90-90-piriformis-stretch,90/90 Piriformis Stretch,https://www.youtube.com/embed/BBbxUlCFwM4?rel=0,Glutes,Warmup,Bodyweight,Compound,Static Stretching,Beginner,,https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Glutes.jpg,"The 90/90 piriformis stretch is a form of static stretching used to warm up the muscles of the glutes.
Warming up the glutes and improving mobility is important for nearly every leg exercise, as well as alleviating gluteal muscle tightness which can lead to postural imbalances.","
		In a seated position keep the knees up, feet flat, and upper body supported with your hands.

		Rotate both legs to the floor while keeping the knees at 90 degrees.

		Lean forward over the knee until you feel a stretch in the glute, then rotate both legs in the opposite direction while keeping the feet on the floor.

		Repeat on the opposite leg for the desired time or number of repetitions.","
		Never stretch to the point of pain or discomfort which causes you to hold your breath. Holding the breath increases global tension and will only work against the effects of the stretch at hand.

		Try to keep the low back on the floor and get all of the range of motion from your hips.

		Lean over the leg slowly and experiment with different positions (rounded spine versus chest up) to move through different ranges of motion."
1744282085-17,https://www.muscleandstrength.com/exercises/smith-machine-stiff-leg-deadlift.html,Smith Machine Stiff Leg Deadlift,https://player.vimeo.com/video/756793204?h=c832d55911,Hamstrings,Strength,Machine,Compound,Pull,Intermediate,"Glutes, Lower Back",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Hamstrings.jpg,,"Set up for the exercise by loading a smith machine with the weight you want to use. Set the bar to the lowest setting.
Stand facing the barbell with your feet shoulder-width apart.
Bend down with your knees and grasp the barbell using an overhand grip (palms facing down) with your hands around shoulder-width apart or wider.
Keeping your back straight, stand straight up resting the bar on your thighs.
Get set up for the movement by pulling your shoulders back, sticking your chest out, and arching your back slightly.
Keeping your eyes facing forwards, slowly bend at the hips lowering the barbell straight down close to your body. You should feel the stretch in your hamstrings!
Lower the bar down as far as your hamstrings will let you comfortably. Now engage the hamstrings and begin to raise the bar straight back up.
Your eyes should be facing up and your shoulders back. This will prevent your lower back from rounding.
Squeeze up through the glutes and hamstrings until you're standing straight up.
Repeat for desired reps.",
1744282087-18,https://www.muscleandstrength.com/exercises/kettlebell-romanian-deadlift,Kettlebell Romanian Deadlift,https://www.youtube.com/embed/Hv2M23ZfipA?rel=0,Hamstrings,Strength,Kettle Bells,Compound,Hinge (Bilateral),Intermediate,"Abs, Forearms, Glutes, Lats, Lower Back, Traps, Upper Back",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Hamstrings.jpg,"The kettlebell Romanian deadlift is a variation of the Romanian deadlift and an exercise used to build the muscles of the hamstrings.
Kettlebell Romanian deadlifts should be done in a slow fashion with your focus on feeling the tension on the hamstrings and glutes.
Kettlebell Romanian deadlifts are an excellent exercise to use when learning the hip hinge movement before moving on to heavier and more advanced variations.","
		Grasp a kettlebell by the horns with a double overhand grip and assume a hip width stance.

		Begin the RDL by pushing your hips back and hinging forward until the bar is just below knee height.

		Drive through the whole foot and focus on pushing the floor away.

		Return to the starting position and repeat for the desired number of repetitions.","
		Range of motion in the lift will largely be determined by an individual’s mobility as well as their ability to maintain a neutral spine. Standing on a box or bench is likely counterproductive as most won’t have the range of motion to control that much range of motion effectively.

		Neck position is highly individual - Some prefer a neutral neck position (i.e. keeping the chin tucked throughout the lift) while others do well with looking slightly up. Here’s some factors to consider:


				If you’re someone who is more globally extended (i.e. athletic background), then you will likely be able to keep a neutral position more effectively by packing the chin.

				On the opposite end of the spectrum, if you tend to be more flexion dominant (especially in your thoracic spine - upper back) then it would behoove you to look up slightly as this will drive more extension.

				Experiment with each and see which one works best for your individual anatomy and biomechanics.



		Do not allow the kettlebell to drift away from the body, it should graze your legs during the eccentric portion of the lift.

		Make sure you wrap your thumbs around the kettlebell and don’t utilize a false grip. Squeeze the handle as tight as possible like you’re trying to leave an imprint of your fingerprints on the kettlebell.

		Your weight will naturally shift to your heels as you hinge; however, it’s important that you keep the weight distributed over your whole foot and don’t allow the toes to rise. To combat this, you should focus on maintaining 3 points of contact: big toe, little toe, and heel.

		Ensure the elbows stay locked out. Don’t actively flex the triceps but make sure that your elbow doesn’t break neutral as this can potentially put you at risk for a bicep tear under maximal weights."
1744282090-19,https://www.muscleandstrength.com/exercises/exercise-ball-hamstring-curl,Exercise Ball Leg Curl (SHELC),https://www.youtube.com/embed/OOUtV11bSa8?rel=0,Hamstrings,Strength,Exercise Ball,Isolation,Pull (Bilateral),Beginner,"Abs, Calves, Glutes",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Hamstrings.jpg,"The exercise ball hamstring curl is a leg curl variation used to build and strengthen the muscles of the hamstring complex.
The exercise ball hamstring curl provides several unique challenges. For example, it challenges the core to stabilize the spine as you contract your hamstrings to bring the exercise ball towards the body.
Also, as a bodyweight exercise that requires a lot of core stability, it is a self-limiting exercise. This means, you’re less likely to cheat as you would if trying to increase weight used in a weighted exercise. Instead, your goal should be to execute the exercise with perfect form before progressing to a more challenging single leg variation.","Setup in a supine position with your feet elevated on a physioball and your arms extended out to the sides.
Initiate the movement by flexing your glutes and extending the hips until you have a straight line from your heels through your head.
While keeping your hips extended, curl your heels towards your butt by flexing your hamstrings.
Slowly lower back to the starting position and repeat for the desired number of repetitions.","SHELC = Supine Hip Extension Leg Curl
When extending the glutes, you shouldn’t feel any pressure or contraction through the lower back. If you find yourself getting a pump through your spinal erectors then you’re likely substituting spinal extension for hip extension.
If you can’t seem to feel your glutes activating, palpate the musculature with your hands and focus on pausing the movement at the peak of contraction.
If you want to improve activation of your abs and hamstrings within the movement, consider squeezing something like a foam roller or yoga block in between your knees. Keep the hips up but also press into the roller/block as you curl the legs in.
Don’t allow the hips to swivel as you curl the legs in."
1744282092-20,https://www.muscleandstrength.com/exercises/knee-to-chest-single-leg-glute-bridge,Knee to Chest Single Leg Glute Bridge,https://www.youtube.com/embed/Z6sv_sfNI5U?rel=0,Glutes,Warmup,Bodyweight,Compound,Push (Unilateral),Beginner,Hip Flexors,https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Glutes.jpg,"The knee to chest single leg glute bridge is a variation of the glute bridge and an exercise used to isolate the glutes.
This particular exercise is often used as an activation or warm up exercise for the glutes and performed prior to your main workout/compound lift.
The knee to chest single leg glute bridge also provides a stretch on the opposing muscle groups of the lower body as you perform the range of motion.","
		Setup in a supine position with your knees bent and hands by your sides.

		Pull one knee to your chest and hold it.

		Bridge the hips up by driving your down foot into the floor.

		Slowly lower back to the starting position and repeat on the opposite side for the desired number of repetitions before switching sides.","
		Initially you will likely have to hold the knee in place with your hands but as you get stronger, you can progress the exercise by holding the leg in place using a static contraction of the hip flexor.

		With any sort of glute bridging variation, it’s important that you don’t allow the hips to drop or rotate as you are complete repetitions. Single leg variations require higher levels of hip and core stability and as such, they may need to be regressed until the individual demonstrates appropriate levels of strength.

		If you find that the hamstrings are overactive during the movement, seek to drive through the heel directly and keep most of the weight towards the posterior aspect of your foot.

		Don’t arch the back as you bridge the hips, the movement should take place directly through the hip joint and the spinal position shouldn’t change at all."
1744282095-21,https://www.muscleandstrength.com/exercises/banded-sumo-deadlift,Banded Sumo Deadlift,https://www.youtube.com/embed/2HOWKYUIYOQ?rel=0,Hamstrings,Strength,Barbell,Compound,Hinge (Bilateral),Advanced,"Adductors, Calves, Forearms, Glutes, Lats, Lower Back, Quads, Traps, Upper Back",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Hamstrings.jpg,"The banded sumo deadlift is a variation of the sumo deadlift. It is an exercise used to strengthen the entire posterior chain including the hamstrings, back, calves, glutes, and traps.
The band used when performing banded sumo deadlifts provides accommodating resistance. This means the closer one gets to a full contraction during the exercises, the more tension is placed on the targeted muscle groups.","
		Once plates have been loaded on the bar, loop a band on one end of the bar and stretch it across to the other end.

		Stand on top of the band, position the bar over the top of your shoelaces, and assume a very wide stance (determined by your hip structure and limb length).

		Push your hips back and hinge forward until your torso is nearly parallel with the floor.

		Reach down and grasp the bar using a shoulder width, double overhand grip.

		Inhale and pull up slightly on the bar while allowing your hips to drop in a seesaw fashion. This phenomenon is commonly referred to as “pulling the slack out of the bar”.

		As you drop the hips and pull up on the bar, set the lats (imagine you’re trying to squeeze oranges in your armpits) and ensure your armpits are positioned directly over the bar.

		Drive through the whole foot and focus on pushing the floor away.

		Ensure the bar tracks in a straight line as you extend the knees and hips.

		Once you have locked out the hips, reverse the movement by pushing the hips back and hinging forward.

		Return the bar to the floor, reset, and repeat for the desired number of repetitions.","
		Stance width varies greatly depending upon the individual. Rather than spend too much time trying to calculate your ideal stance width, simply experiment and see what feels best on your hips in the long run while simultaneously allowing you to generate the most power. For some folks this will be a semi medium width (hybrid) position whereas for others their toes will almost be touching the plates.

		The sumo pull is slightly different than conventional as the goal is to “wedge” your hips into the bar and get them as close as possible.

		To prevent the bar from drifting away from the body, one should focus on squeezing their lats to keep the bar close and allow it to travel in a linear fashion. Use the cue: “squeeze oranges in your armpits”, “put your shoulder blades in your back pockets” (i.e. scapular depression) or “imagine you’re doing a straight arm pulldown”.

		The hips should be lower than the shoulders and you should be able to see the logo on the lifters shirt before they pull (i.e. “chest up”). The chest up cue is usually accomplished when the lats become locked in though so this cue is typically not needed if the lifter understands how to initiate the lats.

		Ideally the knees should be tracking out over the foot. If you find that you have trouble keeping this neutral knee position, focus on spreading the floor by trying to push your feet apart as you push into the floor. In other words, imagine there is a crack in the floor and you’re trying to spread it open by pushing your heels away from each other. This will help to activate your glutes more during the movement and stabilize the knee joint.

		You MUST keep the crease of the armpit over the bar and the midfoot to allow the bar to travel linearly.

		Neck position is highly individual - Some prefer a neutral neck position (i.e. keeping the chin tucked throughout the lift) while others do well with looking slightly up. Here’s some factors to consider:


				If you’re someone who is more globally extended (i.e. athletic background), then you will likely be able to keep a neutral position more effectively by packing the chin.

				On the opposite end of the spectrum, if you tend to be more flexion dominant (especially in your thoracic spine - upper back) then it would behoove you to look up slightly as this will drive more extension.

				Experiment with each and see which one works best for your individual anatomy and biomechanics.



		Ideally you should cue and emphasize a vertical shin but this will depend entirely on a lifter’s spine and limb length.

		More experienced lifters may not need to emphasize the “pull the slack out the bar” cue as much and that’s perfectly fine if it works for them and still allows them to pull maximal weight but initially it’s an important concept to understand and implement.

		Toe angle is highly individual - this will be dependent upon your hip anatomy. Experiment (toes slightly in, out, or neutral) to see what feels best for you.

		Do NOT retract your shoulder blades. This is mechanically inefficient and a self limiting cue as it shortens the length of the arms thus requiring a larger range of motion.

		Make sure you wrap your thumb around the bar and don’t utilize a false grip. Squeeze the bar as tight as possible like you’re trying to leave an imprint of your fingerprints on the bar.

		Scraping the shins isn’t always necessary in the deadlift. It may occur more frequently with sumo rather than conventional work but if you have the arm pits in the correct position (as noted above) then the bar should travel vertically and the shins will become vertical and move out of the way as the knees extend.

		To follow up on my previous point, if you focus on keeping the weight entirely on the heels, you won’t be able to effectively recruit your quads at the beginning of the lift and thus you’ll be slow off the flow. So, to combat this, you should focus on driving through the whole foot - you want 3 points of contact: big toe, little toe, and heel.

		Ensure the elbows stay locked out. Don’t actively flex the triceps but make sure that your elbow doesn’t break neutral as this can potentially put you at risk for a bicep tear under maximal weights.

		For single repetitions, it will be much easier to drop the bar from lockout (provided that it’s allowed and you’re lifting on a platform or with bumper plates) due to less eccentric loading upon your spinal erectors. However, for multiple repetitions you should try to lower the weight under control while not overly fatiguing the erectors."
1744282097-22,https://www.muscleandstrength.com/exercises/reeves-deadlift,Reeves Deadlift,https://www.youtube.com/embed/PmXDpjZzY4Y?rel=0,Hamstrings,Strength,Barbell,Compound,Hinge (Bilateral),Advanced,"Abs, Adductors, Calves, Forearms, Glutes, Lats, Lower Back, Quads, Traps, Upper Back",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Hamstrings.jpg,"The Reeves deadlift is a variation of the deadlift and an exercise that strengthens all of the muscles of the posterior chain including your hamstrings, back, glutes, traps, and calves.
What makes the Reeves deadlift unique when compared to other variations of the deadlift is its unique hand placement. For the Reeves deadlift, one pinches the plates instead of grasping the bar. This twist to the exercise aims to increase one’s grip strength.
The Reeves deadlift is perfect for those looking to build superior grip strength or as an accessory exercise in building an overall better deadlift.","
		Position the bar over the top of your shoelaces and assume a hip width stance.

		Push your hips back and hinge forward until your torso is nearly parallel with the floor.

		Reach down and grasp the plates with just your fingers using a semi neutral grip.

		Drop the hips and set the lats (imagine you’re trying to squeeze oranges in your armpits).

		Drive through the whole foot and focus on pushing the floor away.

		Ensure the bar tracks in a straight line as you extend the knees and hips.

		Once you have locked out the hips, reverse the movement by pushing the hips back and hinging forward.

		Return the bar to the floor, reset, and repeat for the desired number of repetitions.","
		You MUST keep the crease of the armpit over the bar and the midfoot to allow the bar to travel linearly.

		Given the grip width, you may need to incorporate straps when the weight becomes significant.

		The deadlift is a hinge, not a squat. If you set the hips too low you will put yourself in a disadvantageous position biomechanically and limit your potential for pulling maximal weights.

		To prevent the bar from drifting away from the body, one should focus on squeezing their lats to keep the bar close and allow it to travel in a linear fashion. Use the cue: “squeeze oranges in your armpits”, “put your shoulder blades in your back pockets” (i.e. scapular depression) or “imagine you’re doing a straight arm pulldown”.

		The hips should be lower than the shoulders and you should be able to see the logo on the lifters shirt before they pull (i.e. “chest up”). The chest up cue is usually accomplished when the lats become locked in though so this cue is typically not needed if the lifter understands how to initiate the lats.

		Neck position is highly individual - Some prefer a neutral neck position (i.e. keeping the chin tucked throughout the lift) while others do well with looking slightly up. Here’s some factors to consider:


				If you’re someone who is more globally extended (i.e. athletic background), then you will likely be able to keep a neutral position more effectively by packing the chin.

				On the opposite end of the spectrum, if you tend to be more flexion dominant (especially in your thoracic spine - upper back) then it would behoove you to look up slightly as this will drive more extension.

				Experiment with each and see which one works best for your individual anatomy and biomechanics.



		Ideally you should cue and emphasize a vertical shin but this will depend entirely on a lifter’s spine and limb length.

		Toe angle is highly individual - this will be dependent upon your hip anatomy. Experiment (toes slightly in, out, or neutral) to see what feels best for you.

		Do NOT retract your shoulder blades. This is mechanically inefficient and a self limiting cue as it shortens the length of the arms thus requiring a larger range of motion.

		Scraping the shins isn’t always necessary in the deadlift. It may occur more frequently with sumo rather than conventional work but if you have the arm pits in the correct position (as noted above) then the bar should travel vertically and the shins will become vertical and move out of the way as the knees extend.

		To follow up on my previous point, if you focus on keeping the weight entirely on the heels, you won’t be able to effectively recruit your quads at the beginning of the lift and thus you’ll be slow off the flow. So, to combat this, you should focus on driving through the whole foot - you want 3 points of contact: big toe, little toe, and heel.

		Ensure the elbows stay locked out. Don’t actively flex the triceps but make sure that your elbow doesn’t break neutral as this can potentially put you at risk for a bicep tear under maximal weights.

		For single repetitions, it will be much easier to drop the bar from lockout (provided that it’s allowed and you’re lifting on a platform or with bumper plates) due to less eccentric loading upon your spinal erectors. However, for multiple repetitions you should try to lower the weight under control while not overly fatiguing the erectors.

		The knees should be stacked over the feet. If you position the feet too wide (outside of hip width) then you will likely have to resort to one of two strategies:


				The knees will be pushed inward (valgus) due to your grip width.

				You will have to widen your grip which will require a larger range of motion and make the lift less efficient.

"
1744282100-23,https://www.muscleandstrength.com/exercises/barbell-split-jump.html,Barbell Split Squat With Jump,https://player.vimeo.com/video/877885497?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,Hamstrings,Strength,Barbell,Compound,Push,Intermediate,"Calves, Glutes, Quads",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Hamstrings.jpg,,"It is safest to perform the barbell split jump inside a squat rack. Set up for the exercise by setting the barbell to just below shoulder height and loading the weight you want to use.
Stand under the bar with your feet at about shoulder width apart. Position the bar so that it is resting on the muscles on the top of your back, not on the back of your neck. The bar should feel comfortable. If it doesn't, try adding some padding to the bar.
Now take your hands over the back and grip the bar with a wide grip for stability. You should now bend at the knees and straighten your back in preparation to take the weight off the rack.
Keeping your back straight and eyes up, push up through the legs and take the weight off the rack.
Take a few steps back and stabilize yourself. You are now in the starting position.
Step forward with your left leg while maintaining your balance and squat down through your hips. Keep your torso straight and head up. Don't allow your knee to track out over your toes.
From this squatting position, push through the balls of you feet to jump a few inches from the ground.
Immediately return to the squatting position and repeat for desired reps. 
Then repeat the movement with your right foot forward. ",
1744282102-24,https://www.muscleandstrength.com/exercises/ghd-back-extension,GHD Back Extension,https://www.youtube.com/embed/ICMbSATVKbU?rel=0,Glutes,Strength,Machine,Isolation,Hinge (Bilateral),Intermediate,"Hamstrings, Lower Back",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Glutes.jpg,"The GHD back extension is a variation of the hyperextension and an exercise used to strengthen the muscles of the glutes, hamstrings, and lower back.
The emphasis of this exercise should be placed on your glutes – as over emphasizing movement with the lower back can result in spinal injuries.
The angle the GHD provides to this back extension provides a greater challenge for you to progress to after mastering the basic hyperextension.","
		Set your feet in the base of a GHD and allow your spine to relax as you hinge from the hips.

		Initiate the movement by arching your back and looking up slightly.

		Hold the contraction for the desired amount of time.

		Repeat for the desired number of repetitions.","
		Keep in mind that there are two ways to do hyperextensions.


				Glutecentric: Slightly flex your upper back and extend your hips until your body is in a straight line and focus entirely on gluteal activation.

				Erector-centric: Arch globally through the spine and focus entirely on erector activation.

				Neither is right or wrong but some may be better suited for individuals with certain conditions. For example, if back pain is present then it would be wise to focus on more of the glute centric work.



		If you can’t seem to feel your glutes activating, palpate the musculature with your hands and focus on pausing the movement at the peak of contraction.

		If you find one glute has less contractility than another, perform twice as much volume on that side relative to the other with unilateral variations until you have established an efficient mind/muscle connection."
